"행정동_코드","행정동_명","엑스좌표_값","와이좌표_값","영역_면적"
"11110515","청운효자동","197342","453874","2568432"
"11110530","사직동","197383","452705","1158536"
"11110540","삼청동","198340","454312","1479255"
"11110550","부암동","196781","455266","2274739"
"11110560","평창동","197186","457344","8947328"
"11110570","무악동","196342","453063","369520"
"11110580","교남동","196830","452392","346926"
"11110600","가회동","198812","453662","539955"
"11110615","종로1?2?3?4가동","199104","452849","2417171"
"11110630","종로5?6가동","200389","452590","603167"
"11110640","이화동","200267","453352","782395"
"11110650","혜화동","199773","454212","1132421"
"11110670","창신1동","201219","452536","305337"
"11110680","창신2동","200900","452942","257323"
"11110690","창신3동","201168","453267","216835"
"11110700","숭인1동","201492","453071","239396"
"11110710","숭인2동","201797","452772","351906"
"11140520","소공동","197736","451636","943795"
"11140540","회현동","197977","450824","897827"
"11140550","명동","198613","451602","969729"
"11140570","필동","199450","450816","1464686"
"11140580","장충동","200191","450671","1017925"
"11140590","광희동","200333","451736","737204"
"11140605","을지로동","199696","451898","611524"
"11140615","신당동","201211","451795","534942"
"11140625","다산동","200739","450602","523971"
"11140635","약수동","200909","450070","486369"
"11140645","청구동","201342","450817","342571"
"11140650","신당5동","201932","451567","319706"
"11140665","동화동","201648","451242","327045"
"11140670","황학동","201842","452111","328640"
"11140680","중림동","196999","450869","484384"
"11290575","동선동","201635","454898","724957"
"11290580","돈암1동","202155","455576","488898"
"11290590","돈암2동","201024","455279","518335"
"11290600","안암동","202404","454241","1379571"
"11290610","보문동","201690","453697","553006"
"11290620","정릉1동","201500","455967","412365"
"11290630","정릉2동","200751","456011","1094889"
"11290640","정릉3동","199522","456946","3327126"
"11290650","정릉4동","199550","458261","3570914"
"11290660","길음1동","201743","456516","797310"
"11290685","길음2동","202398","456523","588002"
"11290705","종암동","202991","455319","1404527"
"11290715","월곡1동","203227","456473","801757"
"11290725","월곡2동","204009","455962","1364901"
"11290760","장위1동","203943","457280","708546"
"11290770","장위2동","204582","456975","679894"
"11290780","장위3동","204719","457631","652601"
"11290810","석관동","205418","456523","1705061"
"11305534","삼양동","201318","458245","924092"
"11305535","미아동","202329","458782","841204"
"11305545","송중동","202912","457565","1075796"
"11305555","송천동","202199","457622","929913"
"11305575","삼각산동","201459","457508","621911"
"11305595","번1동","202702","459772","627036"
"11305603","번2동","203067","458876","974298"
"11305608","번3동","203724","458233","1081177"
"11215840","자양3동","206277","447988","1196419"
"11215847","자양4동","205623","448252","1180023"
"11215850","구의1동","207599","449114","565313"
"11215860","구의2동","208382","450180","1388041"
"11215870","구의3동","208328","448610","1027561"
"11230536","용신동","202867","452891","1618399"
"11230545","제기동","203288","453800","1181705"
"11230560","전농1동","204501","453298","1126695"
"11230570","전농2동","205399","453462","977568"
"11230600","답십리1동","204583","452416","788242"
"11230610","답십리2동","205392","452362","875745"
"11230650","장안1동","206054","451858","1342167"
"11230660","장안2동","206367","452902","996640"
"11230705","청량리동","203993","454365","1204398"
"11305615","수유1동","200884","458903","1649963"
"11305625","수유2동","201709","460644","581617"
"11305635","수유3동","202069","460098","745645"
"11305645","우이동","200043","462301","10587752"
"11305660","인수동","200313","459754","2998011"
"11320511","창1동","203843","460830","1122171"
"11170510","후암동","198287","450043","865892"
"11170520","용산2가동","198681","448712","1966853"
"11170530","남영동","197775","449391","1177788"
"11170555","청파동","197070","449786","886225"
"11170560","원효로1동","197044","448666","589017"
"11170570","원효로2동","195798","448262","708975"
"11170580","효창동","196548","449256","446197"
"11170590","용문동","196333","448720","277531"
"11170625","한강로동","197224","447737","2869816"
"11170630","이촌1동","197503","446189","2872767"
"11170640","이촌2동","195952","447042","1205543"
"11170650","이태원1동","199403","448207","582899"
"11170660","이태원2동","199298","449139","874243"
"11170685","한남동","200457","448669","3031897"
"11170690","서빙고동","199020","446683","2821948"
"11170700","보광동","200080","447488","715096"
"11200520","왕십리2동","202450","451325","372425"
"11200535","왕십리도선동","202615","451924","710285"
"11200540","마장동","203587","451987","1035276"
"11200550","사근동","204011","450956","1169216"
"11200560","행당1동","203196","451063","573566"
"11200570","행당2동","202620","450795","457669"
"11200580","응봉동","202980","450152","553662"
"11200590","금호1가동","202207","450452","444872"
"11200615","금호2?3가동","201765","450209","631196"
"11200620","금호4가동","202135","449542","832333"
"11200645","옥수동","201819","449038","1922027"
"11200650","성수1가1동","203735","449032","1885875"
"11200660","성수1가2동","203857","449945","930086"
"11200670","성수2가1동","204888","448540","1184964"
"11200690","성수2가3동","205133","449563","1054501"
"11200720","송정동","205918","450223","681916"
"11200790","용답동","205078","451045","2377148"
"11215710","화양동","206486","449309","1166008"
"11215730","군자동","206513","450394","738025"
"11215740","중곡1동","206864","451399","614505"
"11215750","중곡2동","207473","451046","545542"
"11215760","중곡3동","207246","452045","601866"
"11215770","중곡4동","208349","451598","2313468"
"11215780","능동","207227","450122","1092105"
"11215810","광장동","209253","449817","2393761"
"11215820","자양1동","207111","448457","568868"
"11215830","자양2동","207314","447737","1657523"
"11230710","회기동","204549","454907","766917"
"11230720","휘경1동","205529","454712","521796"
"11230730","휘경2동","205814","454122","1113609"
"11230740","이문1동","205338","455313","1039602"
"11230750","이문2동","205962","455921","723890"
"11260520","면목2동","206875","454417","763122"
"11260540","면목4동","207542","452678","843466"
"11260550","면목5동","206967","453666","704936"
"11260565","면목본동","207894","454310","849019"
"11260570","면목7동","208197","453070","1236134"
"11260575","면목3?8동","208687","453886","1614117"
"11260580","상봉1동","207898","455798","854219"
"11260590","상봉2동","207420","454976","677445"
"11260600","중화1동","207336","455894","641493"
"11260610","중화2동","206626","455515","1016955"
"11260620","묵1동","207287","457130","1238436"
"11260630","묵2동","206589","456807","669204"
"11260655","망우본동","209488","455845","2948109"
"11260660","망우3동","209082","454707","962561"
"11260680","신내1동","209749","457437","2606949"
"11260690","신내2동","208087","456826","911281"
"11290525","성북동","199482","455235","2879912"
"11290555","삼선동","201034","454111","926227"
"11320681","쌍문4동","202684","461755","554868"
"11320690","방학1동","203836","462823","1040857"
"11320700","방학2동","202884","463282","1092814"
"11320710","방학3동","202079","462617","1951026"
"11350560","월계1동","205141","458034","1107461"
"11350570","월계2동","204528","459375","2004785"
"11350580","월계3동","205715","458315","1168283"
